timestamp,status
2024-05-06 14:27:31.972128,Postura Incorreta
2024-05-06 14:27:32.031962,Postura Incorreta
2024-05-06 14:27:32.092689,Postura Incorreta
2024-05-06 14:27:32.151792,Postura Correta
2024-05-06 14:27:32.210822,Postura Correta
2024-05-06 14:27:32.268779,Postura Correta
2024-05-06 14:27:32.323715,Postura Correta
2024-05-06 14:27:32.379361,Postura Correta
2024-05-06 14:27:32.438619,Postura Correta
2024-05-06 14:27:32.497650,Postura Correta
2024-05-06 14:27:32.555713,Postura Correta
2024-05-06 14:27:32.612137,Postura Correta
2024-05-06 14:27:32.669035,Postura Correta
2024-05-06 14:27:32.728958,Postura Correta
2024-05-06 14:27:32.786325,Postura Correta
2024-05-06 14:27:32.843034,Postura Correta
2024-05-06 14:27:32.899098,Postura Correta
2024-05-06 14:27:32.956677,Postura Correta
2024-05-06 14:27:33.013864,Postura Correta
2024-05-06 14:27:33.081569,Postura Correta
2024-05-06 14:27:33.137765,Postura Correta
2024-05-06 14:27:33.192544,Postura Correta
2024-05-06 14:27:33.247636,Postura Correta
2024-05-06 14:27:33.305977,Postura Correta
2024-05-06 14:27:33.365758,Postura Correta
2024-05-06 14:27:33.423613,Postura Correta
2024-05-06 14:27:33.478703,Postura Correta
2024-05-06 14:27:33.535928,Postura Correta
2024-05-06 14:27:33.590379,Postura Correta
2024-05-06 14:27:33.646603,Postura Correta
2024-05-06 14:27:33.701603,Postura Correta
2024-05-06 14:27:33.760284,Postura Correta
2024-05-06 14:27:33.818965,Postura Correta
2024-05-06 14:27:33.874630,Postura Correta
2024-05-06 14:27:33.932090,Postura Correta
2024-05-06 14:27:33.990172,Postura Correta
2024-05-06 14:27:34.046172,Postura Correta
2024-05-06 14:27:34.102970,Postura Correta
2024-05-06 14:27:34.159802,Postura Correta
2024-05-06 14:27:34.213384,Postura Correta
2024-05-06 14:27:34.269439,Postura Correta
2024-05-06 14:27:34.323233,Postura Correta
2024-05-06 14:27:34.375668,Postura Correta
2024-05-06 14:27:34.429920,Postura Correta
2024-05-06 14:27:34.482831,Postura Correta
2024-05-06 14:27:34.536859,Postura Correta
2024-05-06 14:27:34.590498,Postura Correta
2024-05-06 14:27:34.645358,Postura Correta
2024-05-06 14:27:34.702558,Postura Correta
2024-05-06 14:27:34.760090,Postura Correta
2024-05-06 14:27:34.815679,Postura Correta
2024-05-06 14:27:34.868548,Postura Correta
2024-05-06 14:27:34.922131,Postura Correta
2024-05-06 14:27:34.977281,Postura Correta
2024-05-06 14:27:35.034966,Postura Correta
2024-05-06 14:27:35.091393,Postura Correta
2024-05-06 14:27:35.146641,Postura Correta
2024-05-06 14:27:35.210432,Postura Correta
2024-05-06 14:27:35.276885,Postura Correta
2024-05-06 14:27:35.333963,Postura Correta
2024-05-06 14:27:35.388622,Postura Correta
2024-05-06 14:27:35.443344,Postura Correta
2024-05-06 14:27:35.499728,Postura Correta
2024-05-06 14:27:35.556093,Postura Correta
2024-05-06 14:27:35.607957,Postura Correta
2024-05-06 14:27:35.662264,Postura Correta
2024-05-06 14:27:35.716996,Postura Correta
2024-05-06 14:27:35.772189,Postura Correta
2024-05-06 14:27:35.827002,Postura Correta
2024-05-06 14:27:35.883632,Postura Correta
2024-05-06 14:27:35.944709,Postura Correta
2024-05-06 14:27:36.000435,Postura Correta
2024-05-06 14:27:36.057824,Postura Correta
2024-05-06 14:27:36.113298,Postura Correta
2024-05-06 14:27:36.167164,Postura Correta
2024-05-06 14:27:36.222798,Postura Correta
2024-05-06 14:27:36.281178,Postura Correta
2024-05-06 14:27:36.336368,Postura Correta
2024-05-06 14:27:36.391913,Postura Correta
2024-05-06 14:27:36.448712,Postura Correta
2024-05-06 14:27:36.505086,Postura Correta
2024-05-06 14:27:36.561378,Postura Correta
2024-05-06 14:27:36.620911,Postura Correta
2024-05-06 14:27:36.679810,Postura Correta
2024-05-06 14:27:36.738787,Postura Correta
2024-05-06 14:27:36.796063,Postura Correta
2024-05-06 14:27:36.853233,Postura Correta
2024-05-06 14:27:36.908821,Postura Correta
2024-05-06 14:27:36.966301,Postura Correta
2024-05-06 14:27:37.023763,Postura Correta
2024-05-06 14:27:37.080341,Postura Correta
2024-05-06 14:27:37.137925,Postura Correta
2024-05-06 14:27:37.194058,Postura Correta
2024-05-06 14:27:37.254502,Postura Correta
2024-05-06 14:27:37.310721,Postura Correta
2024-05-06 14:27:37.369462,Postura Correta
2024-05-06 14:27:37.427467,Postura Correta
2024-05-06 14:27:37.483513,Postura Correta
2024-05-06 14:27:37.541296,Postura Correta
2024-05-06 14:27:37.597783,Postura Correta
2024-05-06 14:27:37.655207,Postura Correta
2024-05-06 14:27:37.713781,Postura Correta
2024-05-06 14:27:37.768557,Postura Incorreta
2024-05-06 14:27:37.820385,Postura Correta
2024-05-06 14:27:37.879767,Postura Correta
2024-05-06 14:27:37.938372,Postura Correta
2024-05-06 14:27:37.999382,Postura Incorreta
2024-05-06 14:27:38.055355,Postura Correta
2024-05-06 14:27:38.112278,Postura Correta
2024-05-06 14:27:38.170522,Postura Incorreta
2024-05-06 14:27:38.225849,Postura Incorreta
2024-05-06 14:27:38.279620,Postura Incorreta
2024-05-06 14:27:38.332356,Postura Incorreta
2024-05-06 14:27:38.384765,Postura Incorreta
2024-05-06 14:27:38.436729,Postura Incorreta
2024-05-06 14:27:38.489181,Inativo
2024-05-06 14:27:38.541413,Inativo
2024-05-06 14:27:38.590379,Inativo
2024-05-06 14:27:38.643366,Inativo
2024-05-06 14:27:38.693745,Inativo
2024-05-06 14:27:38.748334,Inativo
2024-05-06 14:27:38.798681,Inativo
2024-05-06 14:27:38.848561,Inativo
2024-05-06 14:27:38.901057,Inativo
2024-05-06 14:27:38.951379,Inativo
2024-05-06 14:27:38.999340,Inativo
2024-05-06 14:27:39.047149,Inativo
2024-05-06 14:27:39.094265,Inativo
2024-05-06 14:27:39.141726,Inativo
2024-05-06 14:27:39.188705,Inativo
2024-05-06 14:27:39.236543,Inativo
2024-05-06 14:27:39.283539,Inativo
